indelsubtype	MLH1	MSH2	MSH6	PMS2
[-C]Rep=2	0.001028655	0.002016129	0.001850139	0.002483238
[-C]Rep=3	0.002204262	0.003225806	0.000555042	0.000744971
[-C]Rep=4	0.004555474	0.005846774	0.001480111	0.000993295
[-C]Rep=5	0.013666422	0.014516129	0.004810361	0.00322821
[-C]Rep=6	0.017634093	0.018145161	0.006845513	0.004718152
[-C]Rep=7	0.014842028	0.017741935	0.010175763	0.002979886
[-C]Rep=8	0.006171932	0.005846774	0.003885291	0.003724857
[-C]Rep=9	0.000587803	0.000201613	0.000185014	0.000496648
[-T]Rep=2	0.002498163	0.003830645	0.001850139	0.000248324
[-T]Rep=3	0.002792065	0.001814516	0.002220167	0.001986591
[-T]Rep=4	0.01528288	0.01733871	0.011840888	0.009684629
[-T]Rep=5	0.046436444	0.052620968	0.039407956	0.033027067
[-T]Rep=6	0.069948567	0.075201613	0.067160037	0.04817482
[-T]Rep=7	0.147832476	0.164112903	0.147641073	0.087409983
[-T]Rep=8	0.211315209	0.210080645	0.226641998	0.120188726
[-T]Rep=9	0.239235856	0.240524194	0.26919519	0.163893717
[+C]Rep=2	0.000146951	0	0.000185014	0.000496648
[+C]Rep=3	0.000881705	0.000604839	0.000370028	0.001489943
[+C]Rep=4	0.001616458	0.001612903	0.00333025	0.010926248
[+C]Rep=5	0.001322557	0.002016129	0.001850139	0.00844301
[+C]Rep=6	0.003967671	0.001814516	0.003145236	0.0104296
[+C]Rep=7	0.004114622	0.004435484	0.0066605	0.014651105
[+C]Rep=8	0.001028655	0.001008065	0.003700278	0.006456419
[+C]Rep=9	0.000146951	0	0.000740056	0.000744971
[+T]Rep=2	0.003526819	0.002822581	0.002220167	0.010677924
[+T]Rep=3	0.002057311	0.002016129	0.001110083	0.006208095
[+T]Rep=4	0.004114622	0.002822581	0.004255319	0.008939657
[+T]Rep=5	0.008963997	0.00766129	0.00906568	0.022597467
[+T]Rep=6	0.025716385	0.01875	0.027752081	0.070027316
[+T]Rep=7	0.035562087	0.030443548	0.044958372	0.092128135
[+T]Rep=8	0.045113887	0.034274194	0.0453284	0.114228955
[+T]Rep=9	0.027479794	0.025604839	0.026456984	0.09634964
