indelsubtype	indeltype_short	type
[+]Mh	[+]Mh	Ins
[+>1]Other	[+>1]Other	Ins
[+>1]Rep<=4	[+>1]Rep	Ins
[+>1]Rep>=5	[+>1]Rep	Ins
A|[+C]Rep=0|A	[+C]Rep=0	Ins
A|[+C]Rep=0|G	[+C]Rep=0	Ins
A|[+C]Rep=0|T	[+C]Rep=0	Ins
G|[+C]Rep=0|A	[+C]Rep=0	Ins
G|[+C]Rep=0|G	[+C]Rep=0	Ins
G|[+C]Rep=0|T	[+C]Rep=0	Ins
T|[+C]Rep=0|A	[+C]Rep=0	Ins
T|[+C]Rep=0|G	[+C]Rep=0	Ins
T|[+C]Rep=0|T	[+C]Rep=0	Ins
A|[+C]Rep=1|A	[+C]Rep=1	Ins
A|[+C]Rep=1|G	[+C]Rep=1	Ins
A|[+C]Rep=1|T	[+C]Rep=1	Ins
G|[+C]Rep=1|A	[+C]Rep=1	Ins
G|[+C]Rep=1|G	[+C]Rep=1	Ins
G|[+C]Rep=1|T	[+C]Rep=1	Ins
T|[+C]Rep=1|A	[+C]Rep=1	Ins
T|[+C]Rep=1|G	[+C]Rep=1	Ins
T|[+C]Rep=1|T	[+C]Rep=1	Ins
A|[+C]Rep=2|A	[+C]Rep=2	Ins
A|[+C]Rep=2|G	[+C]Rep=2	Ins
A|[+C]Rep=2|T	[+C]Rep=2	Ins
G|[+C]Rep=2|A	[+C]Rep=2	Ins
G|[+C]Rep=2|G	[+C]Rep=2	Ins
G|[+C]Rep=2|T	[+C]Rep=2	Ins
T|[+C]Rep=2|A	[+C]Rep=2	Ins
T|[+C]Rep=2|G	[+C]Rep=2	Ins
T|[+C]Rep=2|T	[+C]Rep=2	Ins
A|[+C]Rep=3|A	[+C]Rep=3	Ins
A|[+C]Rep=3|G	[+C]Rep=3	Ins
A|[+C]Rep=3|T	[+C]Rep=3	Ins
G|[+C]Rep=3|A	[+C]Rep=3	Ins
G|[+C]Rep=3|G	[+C]Rep=3	Ins
G|[+C]Rep=3|T	[+C]Rep=3	Ins
T|[+C]Rep=3|A	[+C]Rep=3	Ins
T|[+C]Rep=3|G	[+C]Rep=3	Ins
T|[+C]Rep=3|T	[+C]Rep=3	Ins
A|[+C]Rep=4|A	[+C]Rep=4	Ins
A|[+C]Rep=4|G	[+C]Rep=4	Ins
A|[+C]Rep=4|T	[+C]Rep=4	Ins
G|[+C]Rep=4|A	[+C]Rep=4	Ins
G|[+C]Rep=4|G	[+C]Rep=4	Ins
G|[+C]Rep=4|T	[+C]Rep=4	Ins
T|[+C]Rep=4|A	[+C]Rep=4	Ins
T|[+C]Rep=4|G	[+C]Rep=4	Ins
T|[+C]Rep=4|T	[+C]Rep=4	Ins
A|[+C]Rep=5|A	[+C]Rep=5	Ins
A|[+C]Rep=5|G	[+C]Rep=5	Ins
A|[+C]Rep=5|T	[+C]Rep=5	Ins
G|[+C]Rep=5|A	[+C]Rep=5	Ins
G|[+C]Rep=5|C	[+C]Rep=5	Ins
G|[+C]Rep=5|T	[+C]Rep=5	Ins
T|[+C]Rep=5|A	[+C]Rep=5	Ins
T|[+C]Rep=5|G	[+C]Rep=5	Ins
T|[+C]Rep=5|T	[+C]Rep=5	Ins
A|[+C]Rep=6|A	[+C]Rep=6	Ins
A|[+C]Rep=6|G	[+C]Rep=6	Ins
A|[+C]Rep=6|T	[+C]Rep=6	Ins
G|[+C]Rep=6|A	[+C]Rep=6	Ins
G|[+C]Rep=6|G	[+C]Rep=6	Ins
G|[+C]Rep=6|T	[+C]Rep=6	Ins
T|[+C]Rep=6|A	[+C]Rep=6	Ins
T|[+C]Rep=6|G	[+C]Rep=6	Ins
T|[+C]Rep=6|T	[+C]Rep=6	Ins
A|[+C]Rep=7|A	[+C]Rep=7	Ins
A|[+C]Rep=7|G	[+C]Rep=7	Ins
A|[+C]Rep=7|T	[+C]Rep=7	Ins
G|[+C]Rep=7|A	[+C]Rep=7	Ins
G|[+C]Rep=7|G	[+C]Rep=7	Ins
G|[+C]Rep=7|T	[+C]Rep=7	Ins
T|[+C]Rep=7|A	[+C]Rep=7	Ins
T|[+C]Rep=7|G	[+C]Rep=7	Ins
T|[+C]Rep=7|T	[+C]Rep=7	Ins
A|[+C]Rep=8|A	[+C]Rep=8	Ins
A|[+C]Rep=8|G	[+C]Rep=8	Ins
A|[+C]Rep=8|T	[+C]Rep=8	Ins
G|[+C]Rep=8|A	[+C]Rep=8	Ins
G|[+C]Rep=8|G	[+C]Rep=8	Ins
G|[+C]Rep=8|T	[+C]Rep=8	Ins
T|[+C]Rep=8|A	[+C]Rep=8	Ins
T|[+C]Rep=8|G	[+C]Rep=8	Ins
T|[+C]Rep=8|T	[+C]Rep=8	Ins
A|[+C]Rep=9|A	[+C]Rep=9	Ins
A|[+C]Rep=9|G	[+C]Rep=9	Ins
A|[+C]Rep=9|T	[+C]Rep=9	Ins
G|[+C]Rep=9|A	[+C]Rep=9	Ins
