00508f2b-36bf-44fc-b66b-97e1f3e40bfa	005e85a3-3571-462d-8dc9-2babfc7ace21	007aab66-2f07-459d-8952-3041d6ea24a8	008aef39-0c97-48ce-9dfd-f12d67116c59	008bad10-d41b-4bbb-86fa-9976ecea46b1	00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	0192d529-7340-45d8-a5f0-249cbb11ca19	01c8e465-2b4e-4519-bdef-c3ac06b43eeb	04c09376-8756-41d9-bbca-f464170a8cfb	079bcb09-a075-4313-9a3e-dd67734a8c5d	91f458e6-64b7-454d-a542-b0aa23638fd8	PD11365a	PD23561a	PD23564a	PD23579a	PD24189a	PD24193a	PD24320a	PD31040a	PD31122a	PD31144a	PD36047a	PD5937a	PD6412a	PD7318a	PD9604a
Breast_A	0	179.738836772983	0	262.671748742186	203.211062590975	0	0	527.726207906296	5480.94453964279	0	0	0	5724.1479668772	40803.5350214258	63802.7498926172	15941.9302577285	5535.23323810374	969.264874323894	17864.4384674684	6695.48449442151	9891.41980362408	8652.61345852895	24260.3612723412	7003.71931182284	11455.973345566	1252.86785512168
Breast_B	0	0	0	0	0	729.099535772802	0	0	29619.3063665722	867.639459127228	1689.64531375704	0	16046.9148061661	0	0	0	0	0	0	1387.56918211368	0	0	26281.72456928	0	0	0
Breast_C	0	0	0	0	0	812.110868377936	0	0	0	0	0	0	28456.2355820186	0	0	0	0	0	0	0	0	0	17383.9244391273	0	0	0
Breast_D	284.457958995623	0	109.442217768871	294.013264217106	0	681.092981977062	0	460.824304538799	0	0	2324.01392799678	8190.89952679652	0	10946.5580054538	9944.24031407316	6951.63836839613	2334.47897509151	10853.1699013681	9409.30735430157	8713.49380655363	14341.4070363267	4311.81240219092	0	7195.14331071159	4048.16364470412	6354.90803621958
Breast_E	288.464409122322	0	0	332.817045281293	0	0	0	853.248901903368	0	1073.7913952059	0	0	0	0	0	0	0	0	0	0	4748.42229410586	0	0	3537.09566615073	0	0
Breast_F	0	107.441651031895	0	390.027748132337	0	702.095849262698	252.399647577093	0	0	995.733866011063	1238.17128419147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Breast_G	857.380327113568	183.253283302064	166.432865731463	363.661076383595	325.337908089	646.588271436373	0	776.361639824305	35397.3292031899	912.172280270436	2587.08148129525	0	0	0	0	0	0	954.783328030544	0	0	0	0	0	0	0	0
Breast_H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Breast_I	0	260.06904315197	0	502.956700716573	368.382615928467	830.113326051338	637.509427312775	1225.20351390922	0	912.172280270436	3375.28197908286	2715.27618209163	0	0	8236.61318717821	0	0	1166.01415844734	0	0	0	0	0	0	0	0
Breast_J	248.90071412117	410.186116322702	0	690.508309193475	764.794343938449	879.620084653195	815.290925110132	0	0	2075.52968653964	1541.82640285599	0	0	29025.282664589	0	4602.73320706217	1392.46103026515	1081.62169901368	0	3062.5669858561	0	0	0	3080.27703694884	3904.26446799778	1077.26509149217
Breast_K	0	0	102.381429525718	266.154139350511	223.732376793512	966.131895139268	271.930572687225	0	0	0	4721.68677091714	0	0	0	0	0	0	0	0	0	0	0	0	1959.72193118228	0	0
