Sample	Breast_A	Breast_D	MMR_sum
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	0	284.457958995623	284.457958995623
005e85a3-3571-462d-8dc9-2babfc7ace21	179.738836772983	0	179.738836772983
007aab66-2f07-459d-8952-3041d6ea24a8	0	109.442217768871	109.442217768871
008aef39-0c97-48ce-9dfd-f12d67116c59	262.671748742186	294.013264217106	556.685012959293
008bad10-d41b-4bbb-86fa-9976ecea46b1	203.211062590975	0	203.211062590975
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	0	681.092981977062	681.092981977062
0192d529-7340-45d8-a5f0-249cbb11ca19	0	0	0
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	527.726207906296	460.824304538799	988.550512445095
04c09376-8756-41d9-bbca-f464170a8cfb	5480.94453964279	0	5480.94453964279
079bcb09-a075-4313-9a3e-dd67734a8c5d	0	0	0
91f458e6-64b7-454d-a542-b0aa23638fd8	0	2324.01392799678	2324.01392799678
PD11365a	0	8190.89952679652	8190.89952679652
PD23561a	5724.1479668772	0	5724.1479668772
PD23564a	40803.5350214258	10946.5580054538	51750.0930268796
PD23579a	63802.7498926172	9944.24031407316	73746.9902066904
PD24189a	15941.9302577285	6951.63836839613	22893.5686261246
PD24193a	5535.23323810374	2334.47897509151	7869.71221319525
PD24320a	969.264874323894	10853.1699013681	11822.434775692
PD31040a	17864.4384674684	9409.30735430157	27273.74582177
PD31122a	6695.48449442151	8713.49380655363	15408.9783009751
PD31144a	9891.41980362408	14341.4070363267	24232.8268399508
PD36047a	8652.61345852895	4311.81240219092	12964.4258607199
PD5937a	24260.3612723412	0	24260.3612723412
PD6412a	7003.71931182284	7195.14331071159	14198.8626225344
PD7318a	11455.973345566	4048.16364470412	15504.1369902702
PD9604a	1252.86785512168	6354.90803621958	7607.77589134126
